RESULTS OF EACH SEED

dataset,seed,model,ACC_10,SP_10,EO_10,ACC_100,SP_100,EO_100
pokec1, 1, gcn, 0.643864229765013,0.02445000261281416,0.05578978187673844,0.6469973890339425,0.021526026004627052,0.05256916996047434
pokec1, 2, gcn, 0.6156657963446475,0.0756173162711794,0.07716475592915595,0.6172323759791123,0.07366722283889854,0.07716475592915595
pokec1, 3, gcn, 0.6553524804177545,0.009829271706357778,0.0068732960252546604,0.6558746736292428,0.010642941356479807,0.005223131008753046
pokec1, 4, gcn, 0.6344647519582245,0.01810036576868085,0.010965245105478805,0.6433420365535247,0.024057066665380766,0.02701472150553952
pokec1, 5, gcn, 0.6234986945169713,0.010458214289081835,0.02383121107909658,0.6308093994778068,0.014972466596890166,0.029440468445022794
BIND1%, acc, pokec1, gcn, 63.46 += 0.02
BIND1%, sp, pokec1, gcn, 2.77 += 0.06
BIND1%, eo, pokec1, gcn, 3.49 += 0.07
BIND10%, acc, pokec1, gcn, 63.89 += 0.02
BIND10%, sp, pokec1, gcn, 2.90 += 0.05
BIND10%, ep, pokec1, gcn, 3.83 += 0.06

pokec2, 1, gcn, 0.6121525533290239, 0.00025237546099970976, 0.014568764568764547, 0.6134453781512604, 0.0022345360160046512, 0.019230769230769273
pokec2, 2, gcn, 0.6069812540400775, 0.07215007215007213, 0.10929844097995545, 0.6063348416289592, 0.06744743351886207, 0.10513177431328868
pokec2, 3, gcn, 0.59469941822883, 0.013684116444401373, 0.024140248683768295, 0.616677440206852, 0.015006163345411772, 0.01889399200926023
pokec2, 4, gcn, 0.6121525533290239, 0.051968937599823795, 0.030773934782999612, 0.6140917905623787, 0.047283875823832866, 0.028453749168150466
pokec2, 5, gcn, 0.616677440206852, 0.08311133994463221, 0.05093349315317275, 0.6237879767291532, 0.045176587346003716, 0.022084195997239542
BIND1%, acc, pokec2, gcn, 60.85 += 0.01
BIND1%, sp, pokec2, gcn, 4.42 += 0.10
BIND1%, eo, pokec2, gcn, 4.59 += 0.11
BIND10%, acc, pokec2, gcn, 61.49 += 0.00
BIND10%, sp, pokec2, gcn, 3.54 += 0.06
BIND10%, ep, pokec2, gcn, 3.88 += 0.11

pokec1, 1, gat, 0.6475195822454308, 0.03436444482449014, 0.04964134094568884, 0.6496083550913838, 0.036638780813392835, 0.051061338017859725
pokec1, 2, gat, 0.627154046997389, 0.11293554219811369, 0.09825855661312899, 0.627154046997389, 0.11349287797022733, 0.10533925244904963
pokec1, 3, gat, 0.6595300261096606, 0.012710326487912371, 0.027464485578992615, 0.6553524804177545, 0.010099704184823977, 0.011364614722341848
pokec1, 4, gat, 0.6449086161879896, 0.05449760454064323, 0.0640935650326302, 0.6464751958224543, 0.05404190064690667, 0.06626100318713002
pokec1, 5, gat, 0.6281984334203655, 0.01988981924132277, 0.004628682963100705, 0.6276762402088772, 0.019069474696613964, 0.004628682963100705
BIND1%, acc, pokec1, gat, 64.15 += 0.02
BIND1%, sp, pokec1, gat, 4.69 += 0.13
BIND1%, eo, pokec1, gat, 4.88 += 0.10
BIND10%, acc, pokec1, gat, 64.13 += 0.01
BIND10%, sp, pokec1, gat, 4.67 += 0.13
BIND10%, eo, pokec1, gat, 4.77 += 0.14

pokec2, 1, gat, 0.62120232708468, 0.0014829361029544685, 0.004662004662004615, 0.6205559146735617, 0.0007387048165027887, 0.0038461538461538325
pokec2, 2, gat, 0.6134453781512604, 0.09673263244691815, 0.12575167037861912, 0.6063348416289592, 0.05976860441146159, 0.06454157386785453
pokec2, 3, gat, 0.6199095022624435, 0.043059626177273436, 0.0489806205892237, 0.6250808015513898, 0.029692056173959036, 0.03910421567529215
pokec2, 4, gat, 0.6328377504848093, 0.03378862146830419, 0.00479325167718847, 0.6328377504848093, 0.033498558866185635, 0.005557653914638805
pokec2, 5, gat, 0.6024563671622495, 0.08534619775693403, 0.042679161672296684, 0.5998707175177763, 0.022882108452165095, 0.008617558388725466
BIND1%, acc, pokec2, gat, 61.81 += 0.01
BIND1%, sp, pokec2, gat, 5.21 += 0.12
BIND1%, eo, pokec2, gat, 4.54 += 0.20
BIND10%, acc, pokec2, gat, 61.69 += 0.01
BIND10%, sp, pokec2, gat, 2.93 += 0.04
BIND10%, eo, pokec2, gat, 2.43 += 0.06


pokec1, 1, sage, 0.6543080939947781, 0.05466838637346144, 0.10238618064705018, 0.6543080939947781, 0.05694272236236414, 0.10702678963548529
pokec1, 2, sage, 0.6193211488250653, 0.08258226811224906, 0.08186822862121057, 0.618798955613577, 0.07672617011423638, 0.05027850119092847
pokec1, 3, sage, 0.6527415143603132, 0.005932909023193156, 0.019888075764098234, 0.6616187989556136, 0.0003036434845936631, 0.01895537379824941
pokec1, 4, sage, 0.6349869451697128, 0.05104848062535111, 0.0555708377599029, 0.6339425587467363, 0.048739822010256895, 0.04821957049628167
pokec1, 5, sage, 0.635509138381201, 0.028927753104579845, 0.030630170090157116, 0.6360313315926893, 0.029131660584801933, 0.027934752300399657
BIND1%, acc, pokec1, sage, 63.94 += 0.02
BIND1%, sp, pokec1, sage, 4.46 += 0.07
BIND1%, eo, pokec1, sage, 5.81 += 0.10
BIND10%, acc, pokec1, sage, 64.09 += 0.02
BIND10%, sp, pokec1, sage, 4.24 += 0.07
BIND10%, eo, pokec1, sage, 5.05 += 0.10


pokec2, 1, sage, 0.6270200387847447, 0.051788549891128466, 0.033100233100233134, 0.627666451195863, 0.04992981383164896, 0.033100233100233134
pokec2, 2, sage, 0.6173238526179703, 0.10157699443413726, 0.07976985894580546, 0.6160310277957337, 0.10347093382807665, 0.11288975501113585
pokec2, 3, sage, 0.5953458306399483, 0.03125616800050646, 0.02033157835779098, 0.610213316095669, 0.013969008241379699, 0.017073671632873988
pokec2, 4, sage, 0.6153846153846154, 0.01594609975950506, 0.06001007212359938, 0.5914673561732385, 0.013541150336876473, 0.04611593733700253
pokec2, 5, sage, 0.5953458306399483, 0.12197883787393754, 0.08601213177872213, 0.6056884292178409, 0.056720243558460726, 0.0353510588064363
BIND1%, acc, pokec2, sage, 61.01 += 0.02
BIND1%, sp, pokec2, sage, 6.45 += 0.16
BIND1%, eo, pokec2, sage, 5.58 += 0.07
BIND10%, acc, pokec2, sage, 61.02 += 0.01
BIND10%, sp, pokec2, sage, 4.75 += 0.11
BIND10%, eo, pokec2, sage, 4.89 += 0.11


income, 1, sage, 0.8092282784673502, 0.23054873384596805, 0.2313546423135464, 0.8310847274689692, 0.12768697075835042, 0.076103500761035
income, 2, sage, 0.8116567728008635, 0.2351625213843927, 0.11900452488687785, 0.8240690771721533, 0.17498297830950296, 0.08613445378151252
income, 3, sage, 0.7992444684295736, 0.2144711944925319, 0.17361919346605414, 0.8192120885051268, 0.14242656038219467, 0.07497702909647774
income, 4, sage, 0.8318942255801404, 0.14200926735537633, 0.09447916666666667, 0.8343227199136536, 0.11177094465494347, 0.031331018518518494
income, 5, sage, 0.8146249325418241, 0.15369429199276893, 0.09057315233785823, 0.8135456017269294, 0.08659164961733726, 0.043007972419737195
BIND1%, acc, income, sage, 81.33 += 0.01
BIND1%, sp, income, sage, 19.52 += 0.16
BIND1%, eo, income, sage, 14.18 += 0.29 
BIND10%, acc, income, sage, 82.44 += 0.01
BIND10%, sp, income, sage, 12.87 += 0.09
BIND10%, eo, income, sage, 6.23 += 0.05

income, 1, gat, 0.8162439287641662, 0.14012775608250466, 0.10730593607305933, 0.820831084727469, 0.09978528389495013, 0.07382039573820393
income, 3, gat, 0.8054506206152185, 0.24031766193492277, 0.19398836457659985, 0.8246087425796007, 0.16242983916648068, 0.11879982762335706
income, 3, gat, 0.8170534268753373, 0.1708576566421085, 0.18417559979581422, 0.8205612520237453, 0.10402861092099791, 0.10662582950484939
income, 4, gat, 0.8173232595790609, 0.22109011518075927, 0.28358796296296296, 0.8227199136535348, 0.14152957241706876, 0.17638888888888887
income, 5, gat, 0.8070696168375607, 0.21414701934422326, 0.2213639301874596, 0.8305450620615219, 0.07509350068738567, 0.0013790131437190212
BIND1%, acc, income, gat, 81.26 += 0.00
BIND1%, sp, income, gat, 19.73 += 0.13
BIND1%, eo, income, gat, 19.80 += 0.33
BIND10%, acc, income, gat, 82.39 += 0.00
BIND10%, sp, income, gat, 11.66 += 0.10
BIND10%, eo, income, gat, 9.54 += 0.33

income, 1, gcn, 0.8081489476524555, 0.03940174725230484, 0.02968036529680365, 0.807609282245008, 0.040193512889676174, 0.02968036529680365
income, 2, gcn, 0.7822450080949811, 0.0019110065969778767, 0.07816203404438699, 0.806799784133837, 0.03646360791179617, 0.015061409179056268
income, 3, gcn, 0.7155963302752294, 0.19619751197713273, 0.18795303726391022, 0.7239611440906638, 0.1936370224244132, 0.18804492087799896
income, 4, gcn, 0.7757690232056125, 0.1267345930891544, 0.10729166666666667, 0.726389638424177, 0.056602653367444966, 0.01446759259259256
income, 5, gcn, 0.7002158661629789, 0.2130990268351032, 0.2213639301874596, 0.7452779276848354, 0.16447731627317894, 0.17554406377935794
BIND1%, acc, income, gcn, 75.64 += 0.17
BIND1%, sp, income, gcn, 11.55 += 0.70
BIND1%, eo, income, gcn, 12.49 += 0.50
BIND10%, acc, income, gcn, 76.20 += 0.14
BIND10%, sp, income, gcn, 9.83 += 0.45
BIND10%, eo, income, gcn, 8.46 += 0.63

nba, 1, gcn, 0.6431924882629109, 0.06417169974115611, 0.11264367816091947
nba, 2, gcn, 0.6431924882629109, 0.03581757508342598, 0.020600089565606883
nba, 3, gcn, 0.6384976525821596, 0.04786862334032138, 0.01853568118628357
nba, 4, gcn, 0.6948356807511737, 0.14360587002096437, 0.012820512820512775
nba, 5, gcn, 0.6291079812206573, 0.005079365079365072, 0.08095238095238089
[(64.97652582159624, 0.05342855253587255), (5.930862665304658, 0.21506381419517523), (4.911046853714072, 0.1622999265584854)]
BIND1%, acc, nba, gcn, 64.98 += 0.05
BIND1%, sp, nba, gcn, 5.93 += 0.22
BIND1%, eo, nba, gcn, 4.91 += 0.16

nba, 1, gat, 0.568075117370892, 0.01207937877480586, 0.05517241379310345
nba, 2, gat, 0.6854460093896714, 0.15628476084538379, 0.0658307210031348
nba, 3, gat, 0.6572769953051644, 0.10971348707197764, 0.08109360518999076
nba, 4, gat, 0.6713615023474179, 0.02375960866526905, 0.07692307692307698
nba, 5, gat, 0.727699530516432, 0.04634920634920631, 0.07142857142857151
