16,0.7,0.01,0.001,200,income,1,0.8332433890987587,BIND_sage seed = 1
128,0.3,0.01,0.01,1000,income,2,0.8418780356179169,BIND_sage seed = 2
16,0.6,0.001,1e-05,80,income,3,0.8192120885051268,BIND_sage seed = 3
4,0.7,0.01,0.001,200,income,4,0.8343227199136536,BIND_sage seed = 4
4,0.3,0.01,0.0001,1000,income,5,0.8394495412844036,BIND_sageseed = 5

