dataset,model,ACC_10,SP_10,EO_10,ACC_100,SP_100,EO_100
bail,gat,94.6302182665819,7.493638630297498,2.351927018945106,94.4734053824963,6.805403245173985,1.9886299661883156
bail,gcn,91.28628946810767,6.648165374991703,3.3646908034294225,91.01928374655648,6.226439021501865,2.950385472822703
bail,sage,92.36420145511056,8.942409037165609,3.7656900165625617,92.23705587341952,7.698949866487354,3.5863616690639866
income,gat,80.8850512682137,18.124337634566654,17.254226935282492,82.2234214786832,10.866301519421254,7.050836832698574
income,gcn,77.08580679978412,9.471635437102046,10.734799411173084,76.79978413383702,7.00860936019773,6.938655069001298
income,sage,81.54883971937397,18.594877895259582,15.422489951093715,81.66756610901243,11.532916588684671,5.248795667759429
nba,gat,64.50704225352113,7.878533827352194,7.558566513115745,0.0,0.0,0.0
nba,gcn,64.60093896713616,6.14793364463979,4.384368712578102,0.0,0.0,0.0
nba,sage,69.01408450704226,7.822190122974174,4.508983884139677,0.0,0.0,0.0
pokec1,gat,64.4177545691906,4.590324155704641,4.944731976753016,64.45953002610965,4.634582175755093,5.008006659233906
pokec1,gcn,63.530026109660575,2.8420642585943945,3.8000059095875205,63.853785900783286,2.74283326040053,3.861633918614973
pokec1,sage,63.90600522193212,4.8050065627180025,6.575085809678365,63.958224543080945,4.381942405687587,5.053197406050773
pokec2,gat,61.77117000646412,4.37625920612714,4.065756453368554,62.40465416936005,2.7588297512610125,3.049164643866714
pokec2,gcn,60.05171299288946,4.866158892291259,4.700050767312602,59.74143503555268,4.30858792642186,4.714492176777914
pokec2,sage,60.943762120232705,6.520789293323462,6.150437906345791,60.71105365223012,4.752819799615089,4.589354240713423
